"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB L105",145,"U0080076","DE ST GERMAIN, J. D.","CS 1000-001","Engineering Computing","LECTURE","T1400|H1400",80
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-002","Engineering Computing","LABORATORY","F0835",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-003","Engineering Computing","LABORATORY","F0940",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-004","Engineering Computing","LABORATORY","F1045",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-005","Engineering Computing","LABORATORY","F1150",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-002","Eng Computing MATLAB","LABORATORY","F0835",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-003","Eng Computing MATLAB","LABORATORY","F0940",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-004","Eng Computing MATLAB","LABORATORY","F1045",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-005","Eng Computing MATLAB","LABORATORY","F1150",50
"WEB L101",208,"U0471866","PARKER, D.","CS 1400-001","Introduction to CS","LECTURE","T1400|H1400",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-002","Introduction to CS","LABORATORY","M1255|W1255",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-003","Introduction to CS","LABORATORY","M1400|W1400",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-004","Introduction to CS","LABORATORY","M1505|W1505",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-005","Introduction to CS","LABORATORY","M1610|W1610",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-006","Introduction to CS","LABORATORY","M1150|W1150",50
"WEB L101",208,"U0028988","ZACHARY, J. L.","CS 1410-001","Object-Oriented Prog","LECTURE","M1045|W1045|F1045",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-002","Object-Oriented Prog","LABORATORY","T0940",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-003","Object-Oriented Prog","LABORATORY","T1045",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-004","Object-Oriented Prog","LABORATORY","T1150",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-005","Object-Oriented Prog","LABORATORY","T1255",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CS 1410-006","Object-Oriented Prog","LABORATORY","T1400",50
