"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"EMCB 104",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-001","Engineering Computing","LECTURE","T1400|H1400",80
"EMCB 226",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-002","Engineering Computing","LABORATORY","M0835",50
"EMCB 226",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-003","Engineering Computing","LABORATORY","M0940",50
"EMCB 226",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-004","Engineering Computing","LABORATORY","M1045",50
"EMCB 226",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-005","Engineering Computing","LABORATORY","M1150",50
"EMCB 226",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-006","Engineering Computing","LABORATORY","M1255",50
"EMCB 226",0,"U0029780","HOLLERBACH, J. M.","CP SC 1000-007","Engineering Computing","LABORATORY","M1400",50
"TBD",0,"U0028988","ZACHARY, J. L.","CP SC 1010-001","Introduction To Unix","LECTURE","F1610",50
"EMCB 110",0,"U0027837","HANSCOM, D.","CP SC 1021-001","Introduction to Java","LECTURE","T1400|H1400",80
"MEB 3225",30,"U0027837","HANSCOM, D.","CP SC 1021-002","Introduction to Java","LABORATORY","W1045",50
"MEB 3225",30,"U0027837","HANSCOM, D.","CP SC 1021-003","Introduction to Java","LABORATORY","W1150",50
"EMCB 110",0,"U0035173","THOMPSON, W. B.","CP SC 2000-001","Program Design C","LECTURE","M1400|W1400",80
"EMCB 226",0,"U0035173","THOMPSON, W. B.","CP SC 2000-002","Program Design C","LABORATORY","H1150",50
"EMCB 226",0,"U0035173","THOMPSON, W. B.","CP SC 2000-003","Program Design C","LABORATORY","H1255",50
"EMCB 104",0,"U0028988","ZACHARY, J. L.","CP SC 2010-001","Computer Science I","LECTURE","M1400|W1400",80
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CP SC 2010-002","Computer Science I","LABORATORY","F0730",50
"MEB 3225",30,"U0028988","ZACHARY, J. L.","CP SC 2010-003","Computer Science I","LABORATORY","F0835",50
