Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"MEB 3133",36,U1523769,"MYERS, C. J.; HILL, T. C.; ZHANG, Z.","CS 3700","Digital System Design",LABORATORY,F1500,80
"MEB 3147",1,U1523550,"BRUNVAND, E. L.","CS 3992",Pre-Thesis/Clinic/Proj,SEMINAR,W1150,50
"WEB L105",145,U1523728,"YUKSEL, C.","CS 4150",Algorithms,LECTURE,T1045|H1045,80
"WEB 1250",0,U1523733,"VAN DER MERWE, J. E.","CS 4480","Computer Networks",LECTURE,M1325|W1325,80
"WEB 2230",88,U1523584,"DE ST GERMAIN, H. J.","CS 4500","Senior Capstone Project",LECTURE,T1540|H1540,80
"WEB 1230",92,U1523584,"DE ST GERMAIN, H. J.","CS 4540","Web Software Architecture",LECTURE,M1635|W1635,80
"M LI 1120",45,U1523724,"STOKER, M. L.","CS 4962","Mobile Application Programming","SPECIAL TOPICS",T1540|H1540,80
"WEB L120",50,U1523552,"HENDERSON, T. C.","CS 5100","Foundations Of CS",LECTURE,M1150|W1150,80
"WEB 2230",88,U1523705,"PHILLIPS, J.","CS 5140","Data Mining",LECTURE,M1715|W1715,80
"WEB 2230",88,U1523557,"HOLLERBACH, J. M.","CS 5300","Artificial Intelligence",LECTURE,T1225|H1225,80
"WEB L103",136,U1523770,"BURTSEV, A.","CS 5460","Operating Systems",LECTURE,T0910|H0910,80
"WEB L102",93,U1523704,"LI, F.","CS 5530","Database Systems",LECTURE,M1500|W1500,80
"MEB 3147",1,U1523556,"THOMPSON, W. B.","CS 5650","Perception for Graphics",LECTURE,M1500|W1500,80
"WEB L122",50,U1523771,"KALLA, P.; SCHLITT, L. M.","CS 5740","CAD of Digital Circuits",LECTURE,M1400|W1400|F1400,50
"WEB 1250",0,U1523772,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; BARJATIA, M.","CS 5780","Embedded Sys Design",LECTURE,T1225|H1225,80
"MEB 2265",1,U1523773,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; LUONG, A. N.","CS 5780","Embedded Sys Design",LABORATORY,W0835,180
"MEB 2265",1,U1523773,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; LUONG, A. N.","CS 5780","Embedded Sys Design",LABORATORY,W1150,180
"MEB 2265",1,U1523773,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; LUONG, A. N.","CS 5780","Embedded Sys Design",LABORATORY,F0835,180
"SCULPT 178",24,U1523677,"BRUNVAND, E. L.; STOUT, P. L.","CS 5789","Emb Sys & Kinetic Art",LECTURE,T1540|H1540,180
"WEB 1230",92,U1523678,"MIGHT, M. B.","CS 591","Special Topics","SPECIAL TOPICS",M1150|W1150,80
"WEB 2470",0,U1523596,"REGEHR, J.","CS 5959","Writing Solid Code","SPECIAL TOPICS",T1225|H1225,80
"WEB L102",93,U1523774,"STEVENS, K. S.; ABBASI, S.; LAZZI, G.","CS 5960","RT Async Design","SPECIAL TOPICS",T1400|H1400,80
"WEB 1230",92,U1523678,"MIGHT, M. B.","CS 5961","Scripting Language Design","SPECIAL TOPICS",M1150|W1150,80
"WEB 1248",0,U1523596,"REGEHR, J.","CS 5962","Advanced OS","SPECIAL TOPICS",T0910|H0910,80
"WEB L114",60,U1523553,"HOLLAAR, L. A.","CS 5968","Cyber Ethics","SPECIAL TOPICS",M1800,100
"MEB 3147",1,U1523556,"THOMPSON, W. B.","CS 6030","Tech Communication",LECTURE,M1635|W1635,50
"WEB L120",50,U1523552,"HENDERSON, T. C.","CS 6100","Foundations Of CS",LECTURE,M1150|W1150,80
"MEB 3147",1,U1523569,"GOPALAKRISHNAN, G.","CS 6110","Formal Mthds Sys Design",LECTURE,T1045|H1045,80
"WEB 2230",88,U1523705,"PHILLIPS, J.","CS 6140","Data Mining",LECTURE,M1715|W1715,80
"WEB 1230",92,U1523598,"KIRBY, R. M. I.","CS 6220","Adv Sci Computing II",LECTURE,T1540|H1540,80
"WEB L122",50,U1523619,"BERZINS, M.","CS 6230","Parallel Computing HPC",LECTURE,M0805|W0805|F0805,80
"MEB 3105",60,U1523674,"HALL, M. W.","CS 6235","Parallel Prog Many-Core",LECTURE,T1045|H1045,80
"WEB 2230",88,U1523557,"HOLLERBACH, J. M.","CS 6300","Artificial Intelligence",LECTURE,T1225|H1225,80
"WEB L126",40,U1523552,"HENDERSON, T. C.","CS 6320","3D Computer Vision",LECTURE,M1325|W1325,80
"WEB 2230",88,U1523649,"MINOR, M. A.","CS 6330","Intro to Robot Control",LECTURE,T0910|H0910,80
"WEB 1460",0,U1523630,"JOHNSON, D. E.","CS 6360","Virtual Reality",LECTURE,M1150|W1150|F1150,50
"WEB L103",136,U1523770,"BURTSEV, A.","CS 6460","Operating Systems",LECTURE,T0910|H0910,80
"WEB 1450",0,U1523549,"FLATT, M.","CS 6510","Functional Programming",LECTURE,M1325|W1325,80
"MEB 3147",1,U1523556,"THOMPSON, W. B.","CS 6650","Perception for Graphics",LECTURE,M1500|W1500,80
"MEB 3147",1,U1523550,"BRUNVAND, E. L.","CS 6712","Digital IC Testing",LECTURE,M1150,50
"WEB L112",60,U1523714,"YOUNG, D. J.","CS 6720","Analog IC Design",LECTURE,M1325|W1325,80
"WEB L122",50,U1523771,"KALLA, P.; SCHLITT, L. M.","CS 6740","CAD of Digital Circuits",LECTURE,M1400|W1400|F1400,50
"WEB 1250",0,U1523772,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; BARJATIA, M.","CS 6780","Embed Sys Design",LECTURE,T1225|H1225,80
"MEB 2265",1,U1523773,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; LUONG, A. N.","CS 6780","Embed Sys Design",LABORATORY,W0835,180
"MEB 2265",1,U1523773,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; LUONG, A. N.","CS 6780","Embed Sys Design",LABORATORY,W1150,180
"MEB 2265",1,U1523773,"DAVIES, J. B.; FORYS, A. K.; SCHMID, T.; LUONG, A. N.","CS 6780","Embed Sys Design",LABORATORY,F0835,180
"WEB 2250",74,U1523615,"KASERA, S. K.","CS 6956","Wireless & Mobile Networks","SPECIAL TOPICS",M1325|W1325,80
"WEB 1250",0,U1523653,"FLETCHER, P. T.","CS 6957","Probabilistic Modeling","SPECIAL TOPICS",T1400|H1400,80
"WEB 1248",0,U1523775,"KOPTA, D. M.; SHKURKO, K. I.","CS 6958","Hardware Ray Tracing","SPECIAL TOPICS",M1500|W1500,80
"WEB L110",60,U1523555,"JOHNSON, C. R.","CS 6959","Computational Inverse Problems","SPECIAL TOPICS",T1225|H1225,80
"WEB L102",93,U1523774,"STEVENS, K. S.; ABBASI, S.; LAZZI, G.","CS 6960","RT Async Design","SPECIAL TOPICS",T1400|H1400,80
"MEB 3105",60,U1523577,"RILOFF, E. M.","CS 6961","Info Extraction from text","SPECIAL TOPICS",M1325|W1325,80
"WEB L126",40,U1523776,"RICCI, R. P. R.","CS 6963","Evaluating Networked Systems","SPECIAL TOPICS",T1400|H1400,80
"WEB L114",60,U1523553,"HOLLAAR, L. A.","CS 6968","Cyber Ethics","SPECIAL TOPICS",M1800,100
"MEB 3105",60,U1523617,"BALASUBRAMONIAN, R.","CS 7810","Adv Computer Arch",LECTURE,M1150|W1150,80
"WEB 2250",74,U1523730,"RAKAMARIC, Z.","CS 7930","SoC Colloquium",SEMINAR,M0940|W0940|F0940,115
"MEB 3515",20,U1523728,"YUKSEL, C.","CS 7933","Graphics Seminar",SEMINAR,T1200,120
"WEB 1248",0,U1523678,"MIGHT, M. B.","CS 7935","Static Analysis",SEMINAR,W1400,60
"WEB 3760",10,U1523653,"FLETCHER, P. T.","CS 7938","Medical Imaging",SEMINAR,M1200,90
"MEB 3147",1,U1523557,"HOLLERBACH, J. M.","CS 7939",Robotics,SEMINAR,T1400,50
"MEB 3147",1,U1523705,"PHILLIPS, J.","CS 7941","Data Reading Group",SEMINAR,H1215,75
