"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB L101",208,"U0080076","DE ST GERMAIN, J. D.","CS 1000-001","Engineering Computing","LECTURE","M1500|W1500",80
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-002","Engineering Computing","LABORATORY","F0835",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-003","Engineering Computing","LABORATORY","F0940",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-004","Engineering Computing","LABORATORY","F1045",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-005","Engineering Computing","LABORATORY","F1150",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1000-006","Engineering Computing","LABORATORY","F1255",50
"TBD",0,"U0080076","DE ST GERMAIN, J. D.","CS 1001-001","Eng Computing MATLAB","LECTURE","M1500|W1500",80
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-002","Eng Computing MATLAB","LABORATORY","F0835",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-003","Eng Computing MATLAB","LABORATORY","F0940",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-004","Eng Computing MATLAB","LABORATORY","F1045",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-005","Eng Computing MATLAB","LABORATORY","F1150",50
"WEB L226",40,"U0080076","DE ST GERMAIN, J. D.","CS 1001-006","Eng Computing MATLAB","LABORATORY","F1255",50
"WEB 1250",0,"U0061533","JOHNSON, D. E.","CS 1060-001","Explor in Computer Sci","LECTURE","M1045|W1045|F1045",50
"WEB 1230",92,"U0471866","PARKER, D.","CS 1400-001","Introduction to CS","LECTURE","T1400|H1400",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-002","Introduction to CS","LABORATORY","M1255|W1255",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-003","Introduction to CS","LABORATORY","M1400|W1400",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-004","Introduction to CS","LABORATORY","M1505|W1505",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-005","Introduction to CS","LABORATORY","M1610|W1610",50
"WEB L104",262,"U0063547","JENSEN, P. A.","CS 1410-001","Object-Oriented Prog","LECTURE","M1500|W1500",80
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-002","Object-Oriented Prog","LABORATORY","F0835",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-003","Object-Oriented Prog","LABORATORY","F0940",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-004","Object-Oriented Prog","LABORATORY","F1045",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-005","Object-Oriented Prog","LABORATORY","F1150",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-006","Object-Oriented Prog","LABORATORY","F1255",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-007","Object-Oriented Prog","LABORATORY","F1400",50
"WEB L112",60,"U0162707","RASBAND, N. R.","CS 1410-010","Object-Oriented Prog","LECTURE","M1500|W1500",80
"MEB 3225",30,"U0162707","RASBAND, N. R.","CS 1410-011","Object-Oriented Prog","LABORATORY","H1045",50
"MEB 3225",30,"U0162707","RASBAND, N. R.","CS 1410-012","Object-Oriented Prog","LABORATORY","H1150",50
"WEB L102",93,"U0028245","GOPALAKRISHNAN, G.","CS 2100-001","Discrete Structures","LECTURE","T1225|H1225",80
"WEB L130",20,"U0028245","GOPALAKRISHNAN, G.","CS 2100-002","Discrete Structures","DISCUSSION","F1045",50
"WEB L130",20,"U0028245","GOPALAKRISHNAN, G.","CS 2100-003","Discrete Structures","DISCUSSION","F1150",50
"WEB L130",20,"U0028245","GOPALAKRISHNAN, G.","CS 2100-004","Discrete Structures","DISCUSSION","F0940",50
"WEB L105",145,"U0297211","KOPTA, D. M.","CS 2420-001","Intro Alg & Data Struct","LECTURE","T0910|H0910",80
"MEB 3225",30,"U0297211","KOPTA, D. M.","CS 2420-002","Intro Alg & Data Struct","LABORATORY","M0835",50
"MEB 3225",30,"U0297211","KOPTA, D. M.","CS 2420-003","Intro Alg & Data Struct","LABORATORY","M0940",50
"MEB 3225",30,"U0297211","KOPTA, D. M.","CS 2420-004","Intro Alg & Data Struct","LABORATORY","M1045",50
"MEB 3225",30,"U0297211","KOPTA, D. M.","CS 2420-005","Intro Alg & Data Struct","LABORATORY","M1150",50
"MEB 3225",30,"U0297211","KOPTA, D. M.","CS 2420-006","Intro Alg & Data Struct","LABORATORY","M1255",50
"MEB 3225",30,"U0297211","KOPTA, D. M.","CS 2420-007","Intro Alg & Data Struct","LABORATORY","M1400",50
"WEB L112",60,"U0631411","BARGTEIL, A. W.","CS 2420-010","Intro Alg & Data Struct","LECTURE","M1325|W1325",80
"MEB 3225",30,"U0631411","BARGTEIL, A. W.","CS 2420-011","Intro Alg & Data Struct","LABORATORY","F1505",50
"MEB 3225",30,"U0631411","BARGTEIL, A. W.","CS 2420-012","Intro Alg & Data Struct","LABORATORY","F1610",50
"ANNEX 2182",16,"U0708330","TOPONCE, A. S.","CS 2963-001","LPI Level 1","LAB/DISCUSSION","W1800",180
"MEB 3147",1,"U0176314","FLATT, M.","CS 3011-001","Industry Forum","LECTURE","F1150",50
"WEB L103",136,"U0301982","TASDIZEN, T.","CS 3130-001","Eng Prob Stats","LECTURE","M0940|W0940|F0940",50
"WEB L103",136,"U0726955","ROSEN, P. A.","CS 3200-001","Intro Sci Comp","LECTURE","M1325|W1325",80
"WEB L104",262,"U0063547","JENSEN, P. A.","CS 3505-001","Software Practice II","LECTURE","T1400|H1400",80
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 3505-002","Software Practice II","DISCUSSION","W0835",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 3505-003","Software Practice II","DISCUSSION","W0940",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 3505-004","Software Practice II","DISCUSSION","W1045",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 3505-005","Software Practice II","DISCUSSION","W1150",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 3505-006","Software Practice II","DISCUSSION","W1255",50
"WEB L103",136,"U0034190","KESSLER, R. R.","CS 3660-001","Interactive Machinima","LECTURE","T1225|H1225",80
"WEB 1230",92,"U0361169","KALLA, P.","CS 3700-001","Digital System Design","LECTURE","T1225|H1225",80
"MEB 3133",36,"U0361169","KALLA, P.","CS 3700-002","Digital System Design","LABORATORY","T1045",80
"MEB 3133",36,"U0361169","KALLA, P.","CS 3700-003","Digital System Design","LABORATORY","T1540",80
"MEB 3133",36,"U0361169","KALLA, P.","CS 3700-004","Digital System Design","LABORATORY","W1150",80
"MEB 3133",36,"U0361169","KALLA, P.","CS 3700-005","Digital System Design","LABORATORY","H1540",80
"MEB 3133",36,"U0361169","KALLA, P.","CS 3700-006","Digital System Design","LABORATORY","F1325",80
"MEB 3133",36,"U0361169","KALLA, P.","CS 3700-007","Digital System Design","LABORATORY","F1500",80
"MEB 1225",25,"U0032422","DAVIS, A. L.","CS 3992-001","Pre-Thesis/Clinic/Proj","SEMINAR","W1400",50
"M LI 1110",45,"U0319743","VAN LANGEVELD, M. C.","CS 4055-001","Adv Character Prod","LECTURE","M1610",170
"M LI 1110",45,"U0319743","VAN LANGEVELD, M. C.","CS 4060-001","Digital Figure Sculpting","LECTURE","M1915",165
"WEB L105",145,"U0028988","ZACHARY, J. L.","CS 4150-001","Algorithms","LECTURE","T1045|H1045",80
"WEB 1250",0,"U0852541","VAN DER MERWE, J. E.","CS 4480-001","Computer Networks","LECTURE","M1325|W1325",80
"WEB 2230",88,"U0471866","PARKER, D.","CS 4500-001","Senior Capstone Project","LECTURE","T1540|H1540",80
"WEB 2250",74,"U0384504","ALTIZER, R. A.","CS 4515-001","EAE Senior Project II","LECTURE","T1400|H1400",80
"WEB 2250",74,"U0028988","ZACHARY, J. L.","CS 4540-001","Web Software Architecture","LECTURE","M0910|W0910",80
"M LI 1120",45,"U0063547","JENSEN, P. A.","CS 4962-001","Mobile Application Programming","SPECIAL TOPICS","T1540|H1540",80
"MEB 1225",25,"U0849246","RAKAMARIC, Z.","CS 5100-001","Foundations Of CS","LECTURE","M1150|W1150",80
"WEB 1248",0,"U0028553","RIESENFELD, R. F.","CS 5130-001","Computational Stat","LECTURE","T1400|H1400",80
