Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"EMCB 101",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LECTURE,T1400|H1400,80
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M0730|W0730,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M0835|W0835,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M0940|W0940,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M1045|W1045,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M1150|W1150,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M1255|W1255,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M1400|W1400,50
"EMCB 226",0,U1523543,"HANSCOM, D.","CP SC 1000","Engineering Computing",LABORATORY,M1505|W1505,50
"EMCB 104",0,U1523543,"HANSCOM, D.","CP SC 1010","Introduction To Unix",LECTURE,F1505,50
"EMCB 122",0,U1523543,"HANSCOM, D.","CP SC 1020","Introduction to C++",LECTURE,M1150|W1150,50
"EMCB 210",0,U1523543,"HANSCOM, D.","CP SC 1020","Introduction to C++",DISCUSSION,M1400,50
"EMCB 210",0,U1523543,"HANSCOM, D.","CP SC 1020","Introduction to C++",DISCUSSION,M1505,50
"EMCB 110",0,U1523544,"JONES, D. R.","CP SC 1021","Introduction to Java",LECTURE,T1400|H1400,50
"EMCB 210",0,U1523544,"JONES, D. R.","CP SC 1021","Introduction to Java",LABORATORY,T1500,55
"EMCB 210",0,U1523544,"JONES, D. R.","CP SC 1021","Introduction to Java",LABORATORY,T1610,50
"EMCB 210",0,U1523544,"JONES, D. R.","CP SC 1021","Introduction to Java",LABORATORY,T1800,50
"EMCB 104",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LECTURE,M1400|W1400,80
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0730,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0835,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0940,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1045,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1150,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1255,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1400,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1505,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1610,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1715,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0835,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1045,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1255,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1505,50
"EMCB 104",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LECTURE,M1540|W1540,80
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0730,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0835,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0940,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1045,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1150,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1255,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1400,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1505,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1610,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1715,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F0835,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1045,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1255,50
"EMCB 226",0,U1523545,"ZACHARY, J. L.","CP SC 2010","Computer Science I",LABORATORY,F1505,50
"EMCB 103",0,U1523546,"STENGER, F.","CP SC 2100","Discrete Structures",LECTURE,T1045|H1045,50
"EMCB 102",0,U1523547,"SIKORSKI, C.","CP SC 3200","Scientific Computation",LECTURE,M1045|W1045,80
"EMCB 105",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",LECTURE,T1400|H1400,80
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W0835,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W0940,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1045,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1150,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1255,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1400,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1505,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1610,50
"EMCB 101",0,U1523549,"FLATT, M.","CP SC 3520","Programming Languages",LECTURE,T1045|H1045,80
"EMCB 110",0,U1523550,"BRUNVAND, E. L.","CP SC 3710","Computer Design Lab",LABORATORY,T0910|H0910,80
"EMCB 102",0,U1523543,"HANSCOM, D.","CP SC 3810","Computer Architecture",LECTURE,T0835|H0835,115
"EMCB 124",0,U1523551,"COTTER, N. E.","CP SC 4710","Comptr Eng Sr Project",LECTURE,T0910|H0910,80
"EMCB 120",0,U1523545,"ZACHARY, J. L.","CP SC 4960","Special Topics","SPECIAL TOPICS",H1225,80
"EMCB 105",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",LECTURE,T1400|H1400,80
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W0835,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W0940,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1045,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1150,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1255,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1400,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1505,50
"EMCB 210",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1610,50
"EMCB 112",0,U1523553,"HOLLAAR, L. A.","CP SC 5060","Legal Prot Software",LECTURE,M1820,100
"MEB 3110",40,U1523554,"BUNKER, A.; GOPALAKRISHNAN, G.","CP SC 5100","Foundations Of CS",LECTURE,M1045|W1045,80
"MEB 2325",49,U1523555,"JOHNSON, C. R.","CP SC 5210","Adv Sci Computing I",LECTURE,T1400|H1400,80
"EMCB 105",0,U1523557,"HOLLERBACH, J. M.","CP SC 5310",Robotics,LECTURE,M1400|W1400,80
"EMCB 103",0,U1523558,"MCKEE, S. A.","CP SC 5460","Operating Systems",LECTURE,M1400|W1400,80
"EMCB 103",0,U1523559,"CARTER, J. B.","CP SC 5480",Networks,LECTURE,T1400|H1400,80
"EMCB 110",0,U1523560,"LINDSTROM, G. E.","CP SC 5530","Database Systems",LECTURE,M1045|W1045,80
"EMCB 110",0,U1523561,"HANSEN, C. D.","CP SC 5600","Computer Graphics I",LECTURE,M0940|W0940|F0940,50
"EMCB 103",0,U1523562,"SMITH, K. F.","CP SC 5710","Adv IC Design I",LECTURE,M1225|W1225,80
"MEB 3225",30,U1523563,"MYERS, C. J.","CP SC 5740","CAD of Digital Circuits",LECTURE,M1100|W1100,115
"EMCB 105",0,U1523550,"BRUNVAND, E. L.","CP SC 5810","Adv Cptr Architecture",LECTURE,M1540|W1540,80
"MEB 3110",40,U1523564,"DRAKE, S. H.","CP SC 5963","Advanced Manufacturing","SPECIAL TOPICS",T1800,150
"EMCB 120",0,U1523565,"WHITAKER, R. T.","CP SC 5964","Image Processing",LECTURE,M1540|W1540,80
"MEB 3110",40,U1523554,"BUNKER, A.; GOPALAKRISHNAN, G.","CP SC 6100","Foundations Of CS",LECTURE,M1045|W1045,80
"EMCB 110",0,U1523567,"GOPALAKRISHNAN, G.; JONES, M. D.","CP SC 6110","Formal Mthds Sys Design",LECTURE,M1400|W1400,80
"MEB 2325",49,U1523555,"JOHNSON, C. R.","CP SC 6210","Adv Sci Computing I",LECTURE,T1400|H1400,80
"EMCB 105",0,U1523557,"HOLLERBACH, J. M.","CP SC 6310",Robotics,LECTURE,M1400|W1400,80
"EMCB 103",0,U1523559,"CARTER, J. B.","CP SC 6480",Networks,LECTURE,T1400|H1400,80
"EMCB 110",0,U1523560,"LINDSTROM, G. E.","CP SC 6530","Database Systems",LECTURE,M1045|W1045,80
"EMCB 110",0,U1523561,"HANSEN, C. D.","CP SC 6600","Computer Graphics I",LECTURE,M0940|W0940|F0940,50
"EMCB 103",0,U1523562,"SMITH, K. F.","CP SC 6710","Adv IC Design I",LECTURE,M1225|W1225,80
"MEB 3225",30,U1523563,"MYERS, C. J.","CP SC 6740","CAD of Digital Circuits",LECTURE,M1100|W1100,115
"EMCB 105",0,U1523550,"BRUNVAND, E. L.","CP SC 6810","Adv Cptr Architecture",LECTURE,M1540|W1540,80
"EMCB 104",0,U1523552,"HENDERSON, T. C.","CP SC 6930",Seminar,SEMINAR,T1540|H1540,80
"MEB 3151",1,U1523560,"LINDSTROM, G. E.","CP SC 6931",Seminar,SEMINAR,F1045,80
"MEB 3345",1,U1523561,"HANSEN, C. D.","CP SC 6932",Seminar,SEMINAR,F1400,80
"MEB 3151",1,U1523569,"GOPALAKRISHNAN, G.","CP SC 6933",Seminar,SEMINAR,M1225,80
"MEB 3151",1,U1523548,"KESSLER, R. R.","CP SC 6934",Seminar,SEMINAR,F1445,60
"MEB 3151",1,U1523559,"CARTER, J. B.","CP SC 6935",Seminar,SEMINAR,W1225,80
"EMCB 114",0,U1523570,"RIESENFELD, R. F.","CP SC 6936",Seminar,SEMINAR,T1400|H1400,80
"MEB 3151",1,U1523561,"HANSEN, C. D.","CP SC 6937",Seminar,SEMINAR,T1400|H1400,50
"MEB 3151",1,U1523571,"THOMPSON, C. A.","CP SC 6938",Seminar,SEMINAR,T1500,60
"MEB 3151",1,U1523569,"GOPALAKRISHNAN, G.","CP SC 6940",Seminar,SEMINAR,F1300,90
"MEB 3151",1,U1523572,"HARRISON, R. R.; SMITH, K. F.","CP SC 6963","Adv Integrated Circuits","SPECIAL TOPICS",H1500,180
"EMCB 120",0,U1523565,"WHITAKER, R. T.","CP SC 6964","Image Processing","SPECIAL TOPICS",M1540|W1540,80
