Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"WEB L105",145,U1523585,"JENSEN, P. A.","CS 1000","Engineering Computing",LECTURE,T1540|H1540,80
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1000","Engineering Computing",LABORATORY,F0835,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1000","Engineering Computing",LABORATORY,F0940,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1000","Engineering Computing",LABORATORY,F1045,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1000","Engineering Computing",LABORATORY,F1150,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1000","Engineering Computing",LABORATORY,F1255,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1001","Eng Computing MATLAB",LABORATORY,F0835,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1001","Eng Computing MATLAB",LABORATORY,F0940,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1001","Eng Computing MATLAB",LABORATORY,F1045,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1001","Eng Computing MATLAB",LABORATORY,F1150,50
"WEB L226",40,U1523585,"JENSEN, P. A.","CS 1001","Eng Computing MATLAB",LABORATORY,F1255,50
"WEB 1230",92,U1523630,"JOHNSON, D. E.","CS 1060","Explor in Computer Sci",LECTURE,M1045|W1045|F1045,50
"WEB 1230",92,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LECTURE,T1400|H1400,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1255|W1255,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1400|W1400,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1505|W1505,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1610|W1610,50
"WEB L101",208,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LECTURE,M1045|W1045|F1045,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,T0940,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,T1045,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,T1150,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,T1255,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,T1400,50
"MEB 3225",30,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,T0835,50
"WEB L103",136,U1523565,"WHITAKER, R. T.","CS 2100","Discrete Structures",LECTURE,T1225|H1225,80
"WEB L112",60,U1523565,"WHITAKER, R. T.","CS 2100","Discrete Structures",DISCUSSION,F1045,50
