Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"EMCB 104",0,U1523568,"COHEN, E.","CP SC 1000","Engineering Computing",LECTURE,T1225|H1225,80
"EMCB 226",0,U1523568,"COHEN, E.","CP SC 1000","Engineering Computing",LABORATORY,F0835,50
"EMCB 226",0,U1523568,"COHEN, E.","CP SC 1000","Engineering Computing",LABORATORY,F0940,50
"EMCB 226",0,U1523568,"COHEN, E.","CP SC 1000","Engineering Computing",LABORATORY,F1045,50
"EMCB 226",0,U1523568,"COHEN, E.","CP SC 1000","Engineering Computing",LABORATORY,F1150,50
"EMCB 104",0,U1523586,"LEE, A. H.","CP SC 1010","Introduction To Unix",LECTURE,F1610,50
"EMCB 104",0,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LECTURE,M1400|W1400,80
"MEB 3225",30,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LABORATORY,F0835,50
"MEB 3225",30,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LABORATORY,F0940,50
"MEB 3225",30,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LABORATORY,F1045,50
"MEB 3225",30,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LABORATORY,F1150,50
"MEB 3225",30,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LABORATORY,F1255,50
"MEB 3225",30,U1523586,"LEE, A. H.","CP SC 2010","Computer Science I",LABORATORY,F1400,50
"EMCB 101",0,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LABORATORY,M0835,50
"MEB 3225",30,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LABORATORY,M0940,50
"MEB 3225",30,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LABORATORY,M1045,50
"MEB 3225",30,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LABORATORY,M1150,50
"MEB 3225",30,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LABORATORY,M1255,50
"MEB 3225",30,U1523543,"HANSCOM, D.","CP SC 2020","Computer Science II",LABORATORY,M1400,50
"EMCB 105",0,U1523574,"SHIRLEY, P. S.","CP SC 2100","Discrete Structures",LECTURE,T1225|H1225,80
"EMCB 101",0,U1523595,"SLIND, K. L.","CP SC 3100","Models Of Computation",LECTURE,T1045|H1045,80
"EMCB 103",0,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W0940,50
"MEB 3225",30,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W1045,50
"MEB 3225",30,U1523548,"KESSLER, R. R.","CP SC 3500","Software Practice",DISCUSSION,W0835,50
"EMCB 104",0,U1523545,"ZACHARY, J. L.","CP SC 3510","Algorithms/Data Structs",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 3510","Algorithms/Data Structs",DISCUSSION,W1150,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 3510","Algorithms/Data Structs",DISCUSSION,W1255,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 3510","Algorithms/Data Structs",DISCUSSION,W1400,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 3510","Algorithms/Data Structs",DISCUSSION,W1505,50
"EMCB 101",0,U1523597,"KALLA, P.","CP SC 3700","Digital System Design",LECTURE,T1225|H1225,80
"EMCB 102",0,U1523609,"YOUNG, G. W.","CP SC 3720","Analog/Dig Interfaces",LECTURE,T1225|H1225,80
"MEB 2265",1,U1523610,"YOUNG, G. W.; PANDEY, A.","CP SC 3720","Analog/Dig Interfaces",LABORATORY,T1400,180
"MEB 2265",1,U1523610,"YOUNG, G. W.; PANDEY, A.","CP SC 3720","Analog/Dig Interfaces",LABORATORY,W1150,180
"MEB 2265",1,U1523610,"YOUNG, G. W.; PANDEY, A.","CP SC 3720","Analog/Dig Interfaces",LABORATORY,W1505,180
"MEB 2265",1,U1523611,"YOUNG, G. W.; NAGINENI, A.","CP SC 3720","Analog/Dig Interfaces",LABORATORY,H1400,180
"MEB 2265",1,U1523611,"YOUNG, G. W.; NAGINENI, A.","CP SC 3720","Analog/Dig Interfaces",LABORATORY,F0835,180
"EMCB 101",0,U1523543,"HANSCOM, D.","CP SC 3810","Computer Architecture",LECTURE,T0835|H0835,115
"MEB 1208",50,U1523607,"GROW, R. W.","CP SC 3992","CE Prethesis",LECTURE,T1045,50
"EMCB 112",0,U1523545,"ZACHARY, J. L.","CP SC 4010","Teaching Intro Comp Sci",LECTURE,W1610,50
"EMCB 105",0,U1523589,"DAVIS, A. L.","CP SC 4400","Computer Systems",LECTURE,T1540|H1540,80
"EMCB 102",0,U1523577,"RILOFF, E. M.","CP SC 4500","Softwre Engineering Lab",LECTURE,M1400|W1400|F1400,50
"EMCB 102",0,U1523586,"LEE, A. H.","CP SC 4540","Web Software Architecture",LECTURE,T1400|H1400,80
"EMCB 112",0,U1523551,"COTTER, N. E.","CP SC 4992","CE Senior Thesis II",LECTURE,T1045,50
"EMCB 103",0,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W0940,50
"MEB 3225",30,U1523548,"KESSLER, R. R.","CP SC 5010","Software Practice",DISCUSSION,W1045,50
"EMCB 104",0,U1523545,"ZACHARY, J. L.","CP SC 5020","Algorithms/Data Structs",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 5020","Algorithms/Data Structs",DISCUSSION,W1150,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 5020","Algorithms/Data Structs",DISCUSSION,W1255,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 5020","Algorithms/Data Structs",DISCUSSION,W1400,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CP SC 5020","Algorithms/Data Structs",DISCUSSION,W1505,50
"MEB 3105",60,U1523573,"HSIEH, W. C.","CP SC 5470",Compilers,LECTURE,M1045|W1045|F1045,50
"MEB 3105",60,U1523573,"HSIEH, W. C.","CP SC 5470",Compilers,DISCUSSION,F0940,50
"MEB 3105",60,U1523573,"HSIEH, W. C.","CP SC 5470",Compilers,DISCUSSION,F1150,50
"EMCB 120",0,U1523560,"LINDSTROM, G. E.","CP SC 5520","Anat Modern Prog Lang",LECTURE,M0940|W0940|F0940,50
"EMCB 101",0,U1523570,"RIESENFELD, R. F.","CP SC 5600","Intro Computer Graphics",LECTURE,M1255|W1255|F1255,50
"EMRL 241",0,U1523561,"HANSEN, C. D.","CP SC 5605","Hnrs Intro Comp Graphic",LECTURE,M1255|W1255|F1255,50
"EMCB 104",0,U1523605,"HARRISON, R. R.","CP SC 5720","Adv IC Design II",LECTURE,T0910|H0910,80
"MEB 3147",1,U1523553,"HOLLAAR, L. A.","CP SC 5940",Seminar,SEMINAR,M1800,80
"EMCB 101",0,U1523552,"HENDERSON, T. C.","CP SC 5961","Recruiting Colloquia","SPECIAL TOPICS",M1150|W1150|F1150,50
"MEB 3147",1,U1523556,"THOMPSON, W. B.","CP SC 6010","Research Proposals",LECTURE,T1540|H1540,80
"MEB 2325",49,U1523555,"JOHNSON, C. R.","CP SC 6220","Adv Sci Computing II",LECTURE,T1225|H1225,80
"EMCB 110",0,U1523549,"FLATT, M.","CP SC 6520","Prog Langs & Semantics",LECTURE,M1400|W1400|F1400,50
"MEB 3105",60,U1523574,"SHIRLEY, P. S.","CP SC 6620","Adv Computer Graphic II",LECTURE,T1400|H1400,80
"EMCB 104",0,U1523605,"HARRISON, R. R.","CP SC 6720","Adv IC Design II",LECTURE,T0910|H0910,80
"EMCB 102",0,U1523552,"HENDERSON, T. C.","CP SC 6930",Seminar,SEMINAR,M1505|W1505|F1505,115
"MEB 3147",1,U1523560,"LINDSTROM, G. E.","CP SC 6931",Seminar,SEMINAR,F1045,150
