"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB 1250",0,"U0028599","RILOFF, E. M.","CS 2420-001","Computer Science II","LECTURE","T1400|W1400",100
"MEB 3225",30,"U0028599","RILOFF, E. M.","CS 2420-002","Computer Science II","LABORATORY","H1400",50
"MEB 3225",30,"U0028599","RILOFF, E. M.","CS 2420-003","Computer Science II","LABORATORY","H1500",50
"MEB 3225",30,"U0028599","RILOFF, E. M.","CS 2420-004","Computer Science II","LABORATORY","H1300",50
"ANNEX 2153",28,"U0045911","ROBB, J. T.","CS 2960-001","Apple Certification","LAB/DISCUSSION","F1330",240
"WEB L210",10,"U0045911","ROBB, J. T.","CS 2963-001","LPI Level 1","LAB/DISCUSSION","F0830",240
