"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB L105",145,"U0619895","SAEBI, P.","CS 2420-001","Intro Alg & Data Struct","LECTURE","T1400|W1400|H1400",75
"MEB 3225",30,"U0619895","SAEBI, P.","CS 2420-002","Intro Alg & Data Struct","LABORATORY","W0940",50
"MEB 3225",30,"U0619895","SAEBI, P.","CS 2420-003","Intro Alg & Data Struct","LABORATORY","W1045",50
"MEB 3225",30,"U0619895","SAEBI, P.","CS 2420-004","Intro Alg & Data Struct","LABORATORY","W1150",50
"MEB 3225",30,"U0619895","SAEBI, P.","CS 2420-005","Intro Alg & Data Struct","LABORATORY","W1255",50
"MEB 3225",30,"U0619895","SAEBI, P.","CS 2420-006","Intro Alg & Data Struct","LABORATORY","W1530",50
"ANNEX 2214",18,"U0708330","TOPONCE, A. S.","CS 2963-001","LPI Level 1","LAB/DISCUSSION","W1730",240
