"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"EMCB 101",0,"U0035613","DE ST GERMAIN, H. J.","CP SC 1010-001","Introduction To Unix","LABORATORY","M1600",60
"MEB 3147",1,"U0449448","DRAPER, G. M.","CP SC 1020-001","Introduction to C++","LECTURE","M1600",90
"MEB 3147",1,"U0449448","DRAPER, G. M.","CP SC 1021-001","Introduction to Java","LECTURE","M0800",90
"MEB 2325",49,"U0471866","PARKER, D.","CP SC 2420-001","Computer Science II","LECTURE","T0930|W0930|H0930",65
"EMCB 224",0,"U0471866","PARKER, D.","CP SC 2420-002","Computer Science II","LABORATORY","W0820",55
"EMCB 224",0,"U0471866","PARKER, D.","CP SC 2420-003","Computer Science II","LABORATORY","W1050",55
