Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"WEB L101",208,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LECTURE,T1400|H1400,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1255|W1255,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1400|W1400,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1505|W1505,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1610|W1610,50
"WEB L124",50,U1523626,"PARKER, D.","CS 1400","Introduction to CS",LABORATORY,M1150|W1150,50
"WEB L101",208,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LECTURE,M1045|W1045|F1045,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LABORATORY,T0940,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LABORATORY,T1045,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LABORATORY,T1150,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LABORATORY,T1255,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LABORATORY,T1400,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 1410","Object-Oriented Prog",LABORATORY,T0835,50
"WEB L110",60,U1523718,"SIMS, P. E.","CS 1410","Object-Oriented Prog",LECTURE,M0940|W0940|F0940,50
"MEB 3225",30,U1523718,"SIMS, P. E.","CS 1410","Object-Oriented Prog",LABORATORY,H1045,50
"MEB 3225",30,U1523718,"SIMS, P. E.","CS 1410","Object-Oriented Prog",LABORATORY,H1150,50
"WEB 1230",92,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LECTURE,T1400|H1400,80
"WEB L124",50,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,F0940,50
"WEB L124",50,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,F1045,50
"WEB L124",50,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,F1150,50
"WEB L126",40,U1523585,"JENSEN, P. A.","CS 1410","Object-Oriented Prog",LABORATORY,F1255,50
"WEB 1230",92,U1523585,"JENSEN, P. A.","CS 2000","Program Design C",LECTURE,T1400|H1400,80
"WEB L124",50,U1523585,"JENSEN, P. A.","CS 2000","Program Design C",LABORATORY,F0940,50
"WEB L124",50,U1523585,"JENSEN, P. A.","CS 2000","Program Design C",LABORATORY,F1045,50
"WEB L124",50,U1523585,"JENSEN, P. A.","CS 2000","Program Design C",LABORATORY,F1150,50
"WEB L126",40,U1523585,"JENSEN, P. A.","CS 2000","Program Design C",LABORATORY,F1255,50
"WEB L101",208,U1523565,"WHITAKER, R. T.","CS 2100","Discrete Structures",LECTURE,T1225|H1225,80
"WEB L122",50,U1523565,"WHITAKER, R. T.","CS 2100","Discrete Structures",DISCUSSION,F1045,50
"WEB L122",50,U1523565,"WHITAKER, R. T.","CS 2100","Discrete Structures",DISCUSSION,F1150,50
"WEB L122",50,U1523565,"WHITAKER, R. T.","CS 2100","Discrete Structures",DISCUSSION,F1255,50
"ANNEX 2180",12,U1523719,"TOPONCE, A. S.","CS 2963","LPI Level 1",LAB/DISCUSSION,W1800,180
"WEB 2250",74,U1523626,"PARKER, D.","CS 3020","Research Forum",SEMINAR,M1610,80
"WEB 2230",88,U1523569,"GOPALAKRISHNAN, G.","CS 3100","Models Of Computation",LECTURE,T1045|H1045,80
"WEB 2230",88,U1523653,"FLETCHER, P. T.","CS 3130","Eng Prob Stats",LECTURE,T1540|H1540,80
"WEB L104",262,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",LECTURE,T1400|H1400,80
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,W0835,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,W0940,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,W1045,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,W1150,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,W1255,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,W1400,50
"MEB 3225",30,U1523545,"ZACHARY, J. L.","CS 3500","Software Practice",DISCUSSION,H1255,50
"M LI 1120",45,U1523638,"VAN LANGEVELD, M. C.","CS 3650","3D Modeling for VG&M",LECTURE,M1610,170
"M LI 1110",45,U1523638,"VAN LANGEVELD, M. C.","CS 3650","3D Modeling for VG&M",LECTURE,T1540,170
"M LI 1120",45,U1523720,"BOWN, R. E.; VAN LANGEVELD, M. C.","CS 3650","3D Modeling for VG&M",LECTURE,W1900,180
"WEB L110",60,U1523721,"MYERS, C. J.; SAEBI, P.","CS 3710","Computer Design Lab",LABORATORY,T1540|H1540,80
"WEB L101",208,U1523585,"JENSEN, P. A.","CS 3810","Computer Organization",LECTURE,T0910|H0910,80
