"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB L101",208,"U0063547","JENSEN, P. A.","CS 1000-001","Engineering Computing","LECTURE","M1500|W1500",80
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1000-002","Engineering Computing","LABORATORY","F0835",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1000-003","Engineering Computing","LABORATORY","F0940",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1000-004","Engineering Computing","LABORATORY","F1045",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1000-005","Engineering Computing","LABORATORY","F1150",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1000-006","Engineering Computing","LABORATORY","F1255",50
"TBD",0,"U0063547","JENSEN, P. A.","CS 1001-001","Eng Computing MATLAB","LECTURE","M1500|W1500",80
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1001-002","Eng Computing MATLAB","LABORATORY","F0835",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1001-003","Eng Computing MATLAB","LABORATORY","F0940",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1001-004","Eng Computing MATLAB","LABORATORY","F1045",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1001-005","Eng Computing MATLAB","LABORATORY","F1150",50
"WEB L226",40,"U0063547","JENSEN, P. A.","CS 1001-006","Eng Computing MATLAB","LABORATORY","F1255",50
"WEB 1230",92,"U0061533","JOHNSON, D. E.","CS 1060-001","Explor in Computer Sci","LECTURE","M1045|W1045|F1045",50
"WEB 1230",92,"U0471866","PARKER, D.","CS 1400-001","Introduction to CS","LECTURE","T1400|H1400",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-002","Introduction to CS","LABORATORY","M1255|W1255",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-003","Introduction to CS","LABORATORY","M1400|W1400",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-004","Introduction to CS","LABORATORY","M1505|W1505",50
"WEB L124",50,"U0471866","PARKER, D.","CS 1400-005","Introduction to CS","LABORATORY","M1610|W1610",50
"WEB L101",208,"U0063547","JENSEN, P. A.","CS 1410-001","Object-Oriented Prog","LECTURE","M1045|W1045|F1045",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-002","Object-Oriented Prog","LABORATORY","T0940",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-003","Object-Oriented Prog","LABORATORY","T1045",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-004","Object-Oriented Prog","LABORATORY","T1150",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-005","Object-Oriented Prog","LABORATORY","T1255",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-006","Object-Oriented Prog","LABORATORY","T1400",50
"MEB 3225",30,"U0063547","JENSEN, P. A.","CS 1410-007","Object-Oriented Prog","LABORATORY","T0835",50
"WEB L102",93,"U0548623","VENKATASUBRAMANIAN, S.","CS 2100-001","Discrete Structures","LECTURE","T1225|H1225",80
"WEB L112",60,"U0548623","VENKATASUBRAMANIAN, S.","CS 2100-002","Discrete Structures","DISCUSSION","F1045",50
"WEB L122",50,"U0548623","VENKATASUBRAMANIAN, S.","CS 2100-003","Discrete Structures","DISCUSSION","F1150",50
"WEB L105",145,"U0471866","PARKER, D.","CS 2420-001","Intro Alg & Data Struct","LECTURE","T0910|H0910",80
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-002","Intro Alg & Data Struct","LABORATORY","M0835",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-003","Intro Alg & Data Struct","LABORATORY","M0940",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-004","Intro Alg & Data Struct","LABORATORY","M1045",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-005","Intro Alg & Data Struct","LABORATORY","M1150",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-006","Intro Alg & Data Struct","LABORATORY","M1255",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-007","Intro Alg & Data Struct","LABORATORY","M1610",50
"WEB L112",60,"U0631411","BARGTEIL, A. W.","CS 2420-010","Intro Alg & Data Struct","LECTURE","M1325|W1325",80
"MEB 3225",30,"U0631411","BARGTEIL, A. W.","CS 2420-011","Intro Alg & Data Struct","LABORATORY","F1505",50
"MEB 3225",30,"U0631411","BARGTEIL, A. W.","CS 2420-012","Intro Alg & Data Struct","LABORATORY","F1610",50
"MEB 3147",1,"U0176314","FLATT, M.","CS 2420-020","Intro Alg & Data Struct","LECTURE","T0910|H0910",80
"MEB 3225",30,"U0176314","FLATT, M.","CS 2420-021","Intro Alg & Data Struct","LABORATORY","F1045",50
"ANNEX 2182",16,"U0045911","ROBB, J. T.","CS 2960-001","Apple Certification","LAB/DISCUSSION","F1255",180
"ANNEX 2182",16,"U0691110","EDWARDS, C.","CS 2963-001","LPI Level 1","LAB/DISCUSSION","F0835",180
"ANNEX 2182",16,"U0691110","EDWARDS, C.","CS 2964-001","LPI Level 2","LAB/DISCUSSION","W1800",180
"MEB 3147",1,"U0176314","FLATT, M.","CS 3011-001","Industry Forum","LECTURE","F1150",50
