Room,Capacity,UUID,Professor,Class,Title,Type,Time,Length
"EMCB 102",0,U1523543,"HANSCOM, D.","CP SC 1010","Introduction To Unix",LECTURE,M1600,60
"EMCB 102",0,U1523543,"HANSCOM, D.","CP SC 1010","Introduction To Unix",LECTURE,M1700,60
"EMCB 101",0,U1523583,"WINTERS, J. D.","CP SC 1020","Introduction to C++",LECTURE,T1030|H1030,90
"EMCB 210",0,U1523583,"WINTERS, J. D.","CP SC 1020","Introduction to C++",DISCUSSION,T1230,90
"EMCB 210",0,U1523583,"WINTERS, J. D.","CP SC 1020","Introduction to C++",DISCUSSION,T1400,90
"EMCB 210",0,U1523583,"WINTERS, J. D.","CP SC 1020","Introduction to C++",DISCUSSION,T1530,90
"EMCB 101",0,U1523578,"LIVNAT, Y.","CP SC 1021","Introduction to JAVA",LECTURE,M1030|W1030,90
"EMCB 210",0,U1523578,"LIVNAT, Y.","CP SC 1021","Introduction to JAVA",LABORATORY,T0730,90
"EMCB 210",0,U1523578,"LIVNAT, Y.","CP SC 1021","Introduction to JAVA",LABORATORY,T0900,90
"EMCB 210",0,U1523578,"LIVNAT, Y.","CP SC 1021","Introduction to JAVA",LABORATORY,T1030,90
"EMCB 210",0,U1523578,"LIVNAT, Y.","CP SC 1021","Introduction to JAVA",LABORATORY,T1200,90
"EMCB 210",0,U1523578,"LIVNAT, Y.","CP SC 1021","Introduction to JAVA",LABORATORY,T1630,90
"EMCB 104",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LECTURE,T1030|H1030,90
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W0730,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W0830,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W0930,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W1030,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W1130,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W1230,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W1330,60
"EMCB 226",0,U1523584,"DE ST GERMAIN, H. J.","CP SC 2020","Computer Science II",LABORATORY,W1630,60
