"Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"WEB 2250",74,"U0471866","PARKER, D.","CS 1400-001","Introduction to CS","LECTURE","M0800|T0800|W0800|H0800",75
"MEB 3225",30,"U0471866","PARKER, D.","CS 1400-002","Introduction to CS","LABORATORY","M0925|T0925|W0925|H0925",60
"MEB 3225",30,"U0471866","PARKER, D.","CS 1400-003","Introduction to CS","LABORATORY","M1040|T1040|W1040|H1040",60
"WEB L102",93,"U0471866","PARKER, D.","CS 2420-001","Intro Alg & Data Struct","LECTURE","T1400|H1400",95
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-003","Intro Alg & Data Struct","LABORATORY","W1150",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-004","Intro Alg & Data Struct","LABORATORY","W1255",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-005","Intro Alg & Data Struct","LABORATORY","W1400",50
"MEB 3225",30,"U0471866","PARKER, D.","CS 2420-006","Intro Alg & Data Struct","LABORATORY","W1505",50
"ANNEX 2182",16,"U0045911","ROBB, J. T.","CS 2960-001","Apple Certification","LAB/DISCUSSION","F0830",240
"ANNEX 2214",18,"U0708330","TOPONCE, A. S.","CS 2963-001","LPI Level 1","LAB/DISCUSSION","W1730",240
